Player,Runs,BF,4s,6s,SR,Inns,Opposition,Ground
A Zampa,8,14,0,0,57.14,1,India,Melbourne
A Zampa,2,2,0,0,100,2,India,Nagpur
A Zampa,1,3,0,0,33.33,2,India,The Oval
A Zampa,6,6,1,0,100,2,India,Rajkot
A Zampa,1,6,0,0,16.66,1,India,Bengaluru
A Zampa,7,5,1,0,140,2,South Africa,Paarl
A Zampa,3,3,0,0,100,1,South Africa,Bloemfontein
A Zampa,5,9,0,0,55.55,1,England,Manchester
A Zampa,2,19,0,0,10.52,2,England,Manchester
A Zampa,4,7,0,0,57.14,2,India,Canberra
A Zampa,13,13,1,0,100,2,New Zealand,Cairns
A Zampa,16,21,2,0,76.19,1,New Zealand,Cairns
A Zampa,0,6,0,0,0,1,India,Wankhede
A Zampa,10,11,1,0,90.9,1,India,Chennai
A Zampa,9,11,1,0,81.81,2,South Africa,Centurion
A Zampa,5,7,1,0,71.42,2,South Africa,Johannesburg
A Zampa,2,2,0,0,100,1,India,Mohali
A Zampa,5,5,1,0,100,2,India,Indore
A Zampa,6,20,0,0,30,1,India,Chennai
A Zampa,11,16,1,0,68.75,2,South Africa,Lucknow
A Zampa,0,3,0,0,0,1,New Zealand,Dharamsala
A Zampa,29,19,4,0,152.63,1,England,Ahmedabad
