Player,Runs,BF,4s,6s,SR,Inns,Opposition,Ground
DA Warner,89,114,8,0,78.07,2,Afghanistan,Bristol
DA Warner,56,84,5,0,66.66,2,India,The Oval
DA Warner,107,111,11,1,96.39,1,Pakistan,Taunton
DA Warner,26,48,2,0,54.16,1,Sri Lanka,The Oval
DA Warner,166,147,14,5,112.92,1,Bangladesh,Nottingham
DA Warner,53,61,6,0,86.88,1,England,Lord's
DA Warner,16,23,3,0,69.56,1,New Zealand,Lord's
DA Warner,122,117,15,2,104.27,2,South Africa,Manchester
DA Warner,128,112,17,3,114.28,2,India,Wankhede
DA Warner,15,12,2,0,125,2,India,Rajkot
DA Warner,3,7,0,0,42.85,1,India,Bengaluru
DA Warner,25,27,3,0,92.59,2,South Africa,Paarl
DA Warner,35,23,4,1,152.17,1,South Africa,Bloemfontein
DA Warner,67,88,9,0,76.13,1,New Zealand,Sydney
DA Warner,6,14,0,0,42.85,1,England,Manchester
DA Warner,24,32,3,0,75,2,England,Manchester
DA Warner,69,76,6,0,90.78,1,India,Sydney
DA Warner,83,77,7,3,107.79,1,India,Sydney
DA Warner,37,51,5,0,72.54,2,Sri Lanka,Pallekele
DA Warner,9,12,2,0,75,1,Sri Lanka,Colombo (RPS)
DA Warner,99,112,12,0,88.39,2,Sri Lanka,Colombo (RPS)
DA Warner,10,8,2,0,125,2,Sri Lanka,Colombo (RPS)
DA Warner,20,25,2,1,80,2,New Zealand,Cairns
DA Warner,5,11,1,0,45.45,1,New Zealand,Cairns
DA Warner,86,84,10,1,102.38,2,England,Adelaide
DA Warner,16,17,2,0,94.11,1,England,Sydney
DA Warner,106,102,8,2,103.92,1,England,Melbourne
DA Warner,23,31,1,0,74.19,1,India,Chennai
DA Warner,106,93,12,3,113.97,1,South Africa,Bloemfontein
DA Warner,78,56,10,3,139.28,2,South Africa,Potchefstroom
DA Warner,12,13,2,0,92.3,2,South Africa,Centurion
DA Warner,10,6,1,1,166.66,2,South Africa,Johannesburg
DA Warner,52,53,6,2,98.11,1,India,Mohali
DA Warner,53,39,7,1,135.89,2,India,Indore
DA Warner,56,34,6,4,164.7,1,India,Rajkot
DA Warner,41,52,6,0,78.84,1,India,Chennai
DA Warner,13,27,2,0,48.14,2,South Africa,Lucknow
DA Warner,11,6,0,1,183.33,2,Sri Lanka,Lucknow
DA Warner,163,124,14,9,131.45,1,Pakistan,Bengaluru
DA Warner,104,93,11,3,111.82,1,Netherlands,Delhi
DA Warner,81,65,5,6,124.61,1,New Zealand,Dharamsala
DA Warner,15,16,1,1,93.75,1,England,Ahmedabad
DA Warner,18,29,3,0,62.06,2,Afghanistan,Wankhede
DA Warner,53,61,6,0,86.88,2,Bangladesh,Pune
DA Warner,29,18,1,4,161.11,2,South Africa,Eden Gardens
