Player,Runs,BF,4s,6s,SR,Inns,Opposition,Ground
GJ Maxwell,11,5,1,0,220,1,India,Sydney
GJ Maxwell,48,37,5,1,129.72,1,India,Adelaide
GJ Maxwell,26,19,5,0,136.84,1,India,Melbourne
GJ Maxwell,40,51,5,0,78.43,1,India,Hyderabad
GJ Maxwell,47,31,3,3,151.61,1,India,Ranchi
GJ Maxwell,23,13,2,1,176.92,2,India,Mohali
GJ Maxwell,19,15,0,2,126.66,2,Pakistan,Sharjah
GJ Maxwell,71,55,8,1,129.09,1,Pakistan,Abu Dhabi
GJ Maxwell,98,82,9,3,119.51,1,Pakistan,Dubai (DSC)
GJ Maxwell,70,33,10,3,212.12,1,Pakistan,Dubai (DSC)
GJ Maxwell,28,14,5,0,200,2,India,The Oval
GJ Maxwell,20,10,2,1,200,1,Pakistan,Taunton
GJ Maxwell,46,25,5,1,184,1,Sri Lanka,The Oval
GJ Maxwell,32,10,2,3,320,1,Bangladesh,Nottingham
GJ Maxwell,12,8,1,1,150,1,England,Lord's
GJ Maxwell,12,20,1,0,60,2,South Africa,Manchester
GJ Maxwell,22,23,2,1,95.65,1,England,Birmingham
GJ Maxwell,77,59,4,4,130.5,1,England,Manchester
GJ Maxwell,108,90,4,7,120,2,England,Manchester
GJ Maxwell,45,19,5,3,236.84,1,India,Sydney
GJ Maxwell,63,29,4,4,217.24,1,India,Sydney
GJ Maxwell,59,38,3,4,155.26,2,India,Canberra
GJ Maxwell,80,51,6,6,156.86,2,Sri Lanka,Pallekele
GJ Maxwell,30,25,5,0,120,2,Sri Lanka,Pallekele
GJ Maxwell,33,18,3,1,183.33,1,Sri Lanka,Colombo (RPS)
GJ Maxwell,16,17,2,0,94.11,2,Sri Lanka,Colombo (RPS)
GJ Maxwell,25,50,1,1,50,1,New Zealand,Cairns
GJ Maxwell,14,8,0,1,175,1,New Zealand,Cairns
GJ Maxwell,15,25,1,0,60,1,India,Chennai
GJ Maxwell,31,21,4,2,147.61,2,Sri Lanka,Lucknow
GJ Maxwell,106,44,9,8,240.9,1,Netherlands,Delhi
GJ Maxwell,41,24,5,2,170.83,1,New Zealand,Dharamsala
GJ Maxwell,201,128,21,10,157.03,2,Afghanistan,Wankhede
GJ Maxwell,0,1,0,0,0,1,Pakistan,Bengaluru
