Player,Runs,BF,4s,6s,SR,Inns,Opposition,Ground
JP Inglis,5,10,1,0,50,2,Sri Lanka,Colombo (RPS)
JP Inglis,10,16,1,0,62.5,1,New Zealand,Cairns
JP Inglis,26,27,1,1,96.29,1,India,Wankhede
JP Inglis,50,37,7,1,135.13,1,South Africa,Bloemfontein
JP Inglis,45,45,3,2,100,1,India,Mohali
JP Inglis,6,9,1,0,66.66,2,India,Indore
JP Inglis,5,4,1,0,125,2,South Africa,Lucknow
JP Inglis,58,59,5,1,98.3,2,Sri Lanka,Lucknow
JP Inglis,13,9,3,0,144.44,1,Pakistan,Bengaluru
JP Inglis,14,12,1,1,116.66,1,Netherlands,Delhi
JP Inglis,38,28,4,1,135.71,1,New Zealand,Dharamsala
JP Inglis,3,6,0,0,50,1,England,Ahmedabad
JP Inglis,28,49,3,0,57.14,2,South Africa,Eden Gardens
