Player,Runs,BF,4s,6s,SR,Inns,Opposition,Ground
M Labuschagne,46,47,4,0,97.87,2,India,Rajkot
M Labuschagne,54,64,5,0,84.37,1,India,Bengaluru
M Labuschagne,41,51,2,0,80.39,2,South Africa,Paarl
M Labuschagne,108,108,8,0,100,1,South Africa,Potchefstroom
M Labuschagne,56,52,2,0,107.69,1,New Zealand,Sydney
M Labuschagne,21,30,1,0,70,1,England,Manchester
M Labuschagne,48,59,3,0,81.35,2,England,Manchester
M Labuschagne,20,31,1,0,64.51,2,England,Manchester
M Labuschagne,2,2,0,0,100,1,India,Sydney
M Labuschagne,70,61,5,0,114.75,1,India,Sydney
M Labuschagne,25,35,1,0,71.42,1,Pakistan,Lahore
M Labuschagne,59,49,5,0,120.4,1,Pakistan,Lahore
M Labuschagne,4,10,1,0,40,1,Pakistan,Lahore
M Labuschagne,24,31,1,0,77.41,2,Sri Lanka,Pallekele
M Labuschagne,18,30,0,0,60,2,Sri Lanka,Pallekele
M Labuschagne,29,36,1,0,80.55,1,Sri Lanka,Colombo (RPS)
M Labuschagne,14,21,0,0,66.66,2,Sri Lanka,Colombo (RPS)
M Labuschagne,31,58,2,0,53.44,2,Sri Lanka,Colombo (RPS)
M Labuschagne,5,12,0,0,41.66,1,New Zealand,Cairns
M Labuschagne,52,78,2,0,66.66,1,New Zealand,Cairns
M Labuschagne,58,55,4,1,105.45,1,England,Sydney
M Labuschagne,8,4,1,0,200,1,England,Melbourne
M Labuschagne,15,22,1,0,68.18,1,India,Wankhede
M Labuschagne,28,45,1,1,62.22,1,India,Chennai
M Labuschagne,80,93,8,0,86.02,2,South Africa,Bloemfontein
M Labuschagne,124,99,19,1,125.25,1,South Africa,Bloemfontein
M Labuschagne,15,16,1,1,93.75,2,South Africa,Potchefstroom
M Labuschagne,20,22,3,0,90.9,2,South Africa,Centurion
M Labuschagne,44,63,3,0,69.84,2,South Africa,Johannesburg
M Labuschagne,39,49,3,0,79.59,1,India,Mohali
M Labuschagne,27,31,4,0,87.09,2,India,Indore
M Labuschagne,72,58,9,0,124.13,1,India,Rajkot
M Labuschagne,27,41,1,0,65.85,1,India,Chennai
M Labuschagne,46,74,3,0,62.16,2,South Africa,Lucknow
M Labuschagne,40,60,2,0,66.66,2,Sri Lanka,Lucknow
M Labuschagne,8,12,1,0,66.66,1,Pakistan,Bengaluru
M Labuschagne,62,47,7,2,131.91,1,Netherlands,Delhi
M Labuschagne,18,26,2,0,69.23,1,New Zealand,Dharamsala
M Labuschagne,71,83,7,0,85.54,1,England,Ahmedabad
M Labuschagne,14,28,2,0,50,2,Afghanistan,Wankhede
M Labuschagne,18,31,2,0,58.06,2,South Africa,Eden Gardens
