Player,Runs,BF,4s,6s,SR,Inns,Opposition,Ground
MA Starc,3,3,0,0,100,2,India,The Oval
MA Starc,3,6,0,0,50,1,Pakistan,Taunton
MA Starc,5,4,0,0,125,1,Sri Lanka,The Oval
MA Starc,4,6,0,0,66.66,1,England,Lord's
MA Starc,16,11,1,1,145.45,2,South Africa,Manchester
MA Starc,29,36,1,1,80.55,1,England,Birmingham
MA Starc,6,11,0,0,54.54,2,India,Rajkot
MA Starc,5,12,0,0,41.66,2,South Africa,Paarl
MA Starc,3,5,0,0,60,1,South Africa,Bloemfontein
MA Starc,9,4,1,0,225,1,New Zealand,Sydney
MA Starc,19,12,1,1,158.33,1,England,Manchester
MA Starc,11,3,1,1,366.66,2,England,Manchester
MA Starc,38,45,2,1,84.44,1,New Zealand,Cairns
MA Starc,4,10,1,0,40,1,India,Wankhede
MA Starc,10,11,0,1,90.9,1,India,Chennai
MA Starc,28,35,2,1,80,1,India,Chennai
MA Starc,27,51,3,0,52.94,2,South Africa,Lucknow
MA Starc,2,3,0,0,66.66,1,Pakistan,Bengaluru
MA Starc,10,13,0,0,76.92,1,England,Ahmedabad
MA Starc,3,7,0,0,42.85,2,Afghanistan,Wankhede
MA Starc,16,38,2,0,42.1,2,South Africa,Eden Gardens
