Player,Runs,BF,4s,6s,SR,Inns,Opposition,Ground
MR Marsh,16,19,1,0,84.21,2,South Africa,Paarl
MR Marsh,36,45,3,0,80,1,South Africa,Bloemfontein
MR Marsh,32,41,2,1,78.04,1,South Africa,Potchefstroom
MR Marsh,27,34,2,0,79.41,1,New Zealand,Sydney
MR Marsh,73,100,6,0,73,1,England,Manchester
MR Marsh,10,23,1,0,43.47,1,Sri Lanka,Colombo (RPS)
MR Marsh,26,27,3,1,96.29,2,Sri Lanka,Colombo (RPS)
MR Marsh,24,50,3,0,48,2,Sri Lanka,Colombo (RPS)
MR Marsh,50,59,2,2,84.74,1,England,Sydney
MR Marsh,30,16,1,2,187.5,1,England,Melbourne
MR Marsh,81,65,10,5,124.61,1,India,Wankhede
MR Marsh,66,36,6,6,183.33,2,India,Visakhapatnam
MR Marsh,47,47,8,1,100,1,India,Chennai
MR Marsh,17,15,4,0,113.33,2,South Africa,Bloemfontein
MR Marsh,29,26,4,1,111.53,2,South Africa,Potchefstroom
MR Marsh,71,56,6,6,126.78,2,South Africa,Johannesburg
MR Marsh,96,84,13,3,114.28,1,India,Rajkot
MR Marsh,52,51,9,0,101.96,2,Sri Lanka,Lucknow
MR Marsh,121,108,10,9,112.03,1,Pakistan,Bengaluru
MR Marsh,9,15,2,0,60,1,Netherlands,Delhi
MR Marsh,36,51,2,0,70.58,1,New Zealand,Dharamsala
MR Marsh,24,11,2,2,218.18,2,Afghanistan,Wankhede
MR Marsh,177,132,17,9,134.09,2,Bangladesh,Pune
MR Marsh,2,8,0,0,25,2,England,Manchester
MR Marsh,6,9,1,0,66.66,2,South Africa,Centurion
MR Marsh,7,15,0,0,46.66,2,South Africa,Lucknow
