Player,Runs,BF,4s,6s,SR,Inns,Opposition,Ground
SPD Smith,18,27,1,0,66.66,2,Afghanistan,Bristol
SPD Smith,69,70,5,1,98.57,2,India,The Oval
SPD Smith,10,13,1,0,76.92,1,Pakistan,Taunton
SPD Smith,73,59,7,1,123.72,1,Sri Lanka,The Oval
SPD Smith,38,34,5,0,111.76,1,England,Lord's
SPD Smith,85,119,6,0,71.42,1,England,Birmingham
SPD Smith,98,102,9,1,96.07,2,India,Rajkot
SPD Smith,131,132,14,1,99.24,1,India,Bengaluru
SPD Smith,76,94,3,0,80.85,2,South Africa,Paarl
SPD Smith,13,17,1,0,76.47,1,South Africa,Bloemfontein
SPD Smith,20,26,3,0,76.92,1,South Africa,Potchefstroom
SPD Smith,14,17,0,1,82.35,1,New Zealand,Sydney
SPD Smith,105,66,11,4,159.09,1,India,Sydney
SPD Smith,104,64,14,2,162.5,1,India,Sydney
SPD Smith,53,60,5,0,88.33,2,Sri Lanka,Pallekele
SPD Smith,28,35,3,0,80,2,Sri Lanka,Pallekele
SPD Smith,61,94,5,1,64.89,1,New Zealand,Cairns
SPD Smith,105,131,11,1,80.15,1,New Zealand,Cairns
SPD Smith,80,78,9,1,102.56,2,England,Adelaide
SPD Smith,94,114,5,1,82.45,1,England,Sydney
SPD Smith,21,16,2,0,131.25,1,England,Melbourne
SPD Smith,22,30,4,0,73.33,1,India,Wankhede
SPD Smith,41,60,3,1,68.33,1,India,Mohali
SPD Smith,74,61,8,1,121.31,1,India,Rajkot
SPD Smith,46,71,5,0,64.78,1,India,Chennai
SPD Smith,19,16,4,0,118.75,2,South Africa,Lucknow
SPD Smith,7,9,0,0,77.77,1,Pakistan,Bengaluru
SPD Smith,71,68,9,1,104.41,1,Netherlands,Delhi
SPD Smith,18,17,2,0,105.88,1,New Zealand,Dharamsala
SPD Smith,44,52,3,0,84.61,1,England,Ahmedabad
SPD Smith,63,64,4,1,98.43,2,Bangladesh,Pune
SPD Smith,30,62,2,0,48.38,2,South Africa,Eden Gardens
SPD Smith,5,8,0,0,62.5,1,New Zealand,Lord's
SPD Smith,7,6,1,0,116.66,2,South Africa,Manchester
SPD Smith,7,15,0,0,46.66,2,India,Canberra
SPD Smith,7,9,0,0,77.77,1,Pakistan,Bengaluru
