Player,Runs,BF,4s,6s,SR,Inns,Opposition,Ground
TM Head,101,72,12,3,140.27,1,Pakistan,Lahore
TM Head,89,70,6,5,127.14,1,Pakistan,Lahore
TM Head,23,34,2,0,67.64,2,Sri Lanka,Pallekele
TM Head,70,65,3,3,107.69,1,Sri Lanka,Colombo (RPS)
TM Head,27,33,3,0,81.81,2,Sri Lanka,Colombo (RPS)
TM Head,69,57,10,1,121.05,2,England,Adelaide
TM Head,19,28,3,0,67.85,1,England,Sydney
TM Head,152,130,16,4,116.92,1,England,Melbourne
TM Head,5,10,1,0,50,1,India,Wankhede
TM Head,51,30,10,0,170,2,India,Visakhapatnam
TM Head,33,31,4,2,106.45,1,India,Chennai
TM Head,33,28,6,1,117.85,2,South Africa,Bloemfontein
TM Head,64,36,9,3,177.77,1,South Africa,Bloemfontein
TM Head,38,24,6,1,158.33,2,South Africa,Potchefstroom
TM Head,17,11,1,1,154.54,2,South Africa,Centurion
TM Head,109,67,10,7,162.68,1,New Zealand,Dharamsala
TM Head,11,10,1,0,110,1,England,Ahmedabad
TM Head,10,11,2,0,90.9,2,Bangladesh,Pune
TM Head,62,48,9,2,129.16,2,South Africa,Eden Gardens
