Player,Runs,BF,4s,6s,SR,Inns,Opposition,Ground
PJ Cummins,15,8,2,0,187.5,1,India,Delhi
PJ Cummins,8,7,1,0,114.28,2,India,The Oval
PJ Cummins,2,6,0,0,33.33,1,Pakistan,Taunton
PJ Cummins,23,19,1,0,121.05,1,New Zealand,Lord's
PJ Cummins,9,15,1,0,60,2,South Africa,Manchester
PJ Cummins,6,10,0,0,60,1,England,Birmingham
PJ Cummins,6,7,1,0,85.71,2,South Africa,Paarl
PJ Cummins,6,7,0,0,85.71,1,South Africa,Bloemfontein
PJ Cummins,14,11,0,1,127.27,1,New Zealand,Sydney
PJ Cummins,9,7,1,0,128.57,1,England,Manchester
PJ Cummins,11,19,0,1,57.89,2,England,Manchester
PJ Cummins,4,5,0,0,80,2,England,Manchester
PJ Cummins,4,6,1,0,66.66,2,Sri Lanka,Pallekele
PJ Cummins,35,43,2,0,81.39,2,Sri Lanka,Colombo (RPS)
PJ Cummins,21,9,2,1,233.33,1,India,Mohali
PJ Cummins,19,22,1,0,86.36,1,India,Rajkot
PJ Cummins,15,24,1,1,62.5,1,India,Chennai
PJ Cummins,22,21,4,0,104.76,2,South Africa,Lucknow
PJ Cummins,6,8,0,0,75,1,Pakistan,Bengaluru
PJ Cummins,12,9,2,0,133.33,1,Netherlands,Delhi
PJ Cummins,37,14,2,4,264.28,1,New Zealand,Dharamsala
PJ Cummins,10,13,1,0,76.92,1,England,Ahmedabad
PJ Cummins,12,68,1,0,17.64,2,Afghanistan,Wankhede
PJ Cummins,14,29,2,0,48.27,2,South Africa,Eden Gardens
