Player,Overs,Mdns,Runs,Wkts,Econ,Inns,Opposition,Ground
A Zampa,10,0,34,0,3.4,2,India,Melbourne
A Zampa,10,0,49,2,4.9,2,India,Hyderabad
A Zampa,10,0,62,2,6.2,1,India,Nagpur
A Zampa,10,0,70,3,7,2,India,Ranchi
A Zampa,10,0,57,1,5.7,1,India,Mohali
A Zampa,10,1,46,3,4.6,2,India,Delhi
A Zampa,10,0,44,0,4.4,1,Pakistan,Sharjah
A Zampa,10,0,57,1,5.7,1,Pakistan,Sharjah
A Zampa,9.4,1,43,4,4.44,2,Pakistan,Abu Dhabi
A Zampa,10,0,49,1,4.9,2,Pakistan,Dubai (DSC)
A Zampa,9,0,68,1,7.55,2,Pakistan,Dubai (DSC)
A Zampa,8,0,60,3,7.5,1,Afghanistan,Bristol
A Zampa,6,0,50,0,8.33,1,India,The Oval
A Zampa,9,0,68,1,7.55,2,Bangladesh,Nottingham
A Zampa,10,0,53,1,5.3,1,India,Wankhede
A Zampa,10,0,50,3,5,1,India,Rajkot
A Zampa,10,0,44,1,4.4,2,India,Bengaluru
A Zampa,10,0,48,0,4.8,1,South Africa,Paarl
A Zampa,10,0,48,2,4.8,2,South Africa,Bloemfontein
A Zampa,10,0,45,1,4.5,2,South Africa,Potchefstroom
A Zampa,8,0,50,2,6.25,2,New Zealand,Sydney
A Zampa,10,0,55,4,5.5,2,England,Manchester
A Zampa,10,0,36,3,3.6,1,England,Manchester
A Zampa,10,0,51,3,5.1,1,England,Manchester
A Zampa,10,0,54,4,5.4,2,India,Sydney
A Zampa,10,0,62,2,6.2,2,India,Sydney
A Zampa,10,0,45,1,4.5,1,India,Canberra
A Zampa,10,0,38,4,3.8,2,Pakistan,Lahore
A Zampa,10,0,71,2,7.1,2,Pakistan,Lahore
A Zampa,9,0,50,0,5.55,2,Pakistan,Lahore
A Zampa,10,0,38,1,3.8,1,New Zealand,Cairns
A Zampa,9,0,35,5,3.88,2,New Zealand,Cairns
A Zampa,10,0,53,1,5.3,2,New Zealand,Cairns
A Zampa,10,0,55,3,5.5,1,England,Adelaide
A Zampa,9.5,1,45,4,4.57,2,England,Sydney
A Zampa,5.4,1,31,4,5.47,2,England,Melbourne
A Zampa,6,0,37,0,6.16,2,India,Wankhede
A Zampa,2,0,6,0,3,1,India,Visakhapatnam
A Zampa,10,0,45,4,4.5,2,India,Chennai
A Zampa,10,1,42,1,4.2,1,South Africa,Bloemfontein
A Zampa,9,1,48,4,5.33,2,South Africa,Bloemfontein
A Zampa,10,0,113,0,11.3,1,South Africa,Centurion
A Zampa,10,1,70,3,7,1,South Africa,Johannesburg
A Zampa,10,0,57,2,5.7,2,India,Mohali
A Zampa,10,0,67,1,6.7,1,India,Indore
A Zampa,8,0,53,0,6.62,2,India,Chennai
A Zampa,10,0,70,1,7,1,South Africa,Lucknow
A Zampa,8,1,47,4,5.87,1,Sri Lanka,Lucknow
A Zampa,10,0,53,4,5.3,2,Pakistan,Bengaluru
A Zampa,3,0,8,4,2.66,2,Netherlands,Delhi
A Zampa,10,0,74,3,7.4,2,New Zealand,Dharamsala
A Zampa,10,0,21,3,2.1,2,England,Ahmedabad
A Zampa,10,0,58,1,5.8,1,Afghanistan,Wankhede
A Zampa,10,0,32,2,3.2,1,Bangladesh,Pune
A Zampa,7,0,55,0,7.85,1,South Africa,Eden Gardens
