Player,Overs,Mdns,Runs,Wkts,Econ,Inns,Opposition,Ground
GJ Maxwell,2,0,18,0,9,2,India,Sydney
GJ Maxwell,4,0,16,1,4,2,India,Adelaide
GJ Maxwell,1,0,7,0,7,2,India,Melbourne
GJ Maxwell,10,0,45,1,4.5,1,India,Nagpur
GJ Maxwell,5,0,30,0,6,2,India,Ranchi
GJ Maxwell,8,1,61,0,7.62,1,India,Mohali
GJ Maxwell,6,0,34,0,5.66,2,India,Delhi
GJ Maxwell,10,0,57,1,5.7,1,Pakistan,Sharjah
GJ Maxwell,2,0,11,0,5.5,1,Pakistan,Sharjah
GJ Maxwell,5,0,21,1,4.2,2,Pakistan,Abu Dhabi
GJ Maxwell,8,0,41,0,5.12,2,Pakistan,Dubai (DSC)
GJ Maxwell,10,0,45,1,4.5,2,Pakistan,Dubai (DSC)
GJ Maxwell,7,0,45,0,6.42,1,India,The Oval
GJ Maxwell,7,0,58,0,8.28,2,Pakistan,Taunton
GJ Maxwell,10,0,46,0,4.6,2,Sri Lanka,The Oval
GJ Maxwell,3,0,25,0,8.33,2,Bangladesh,Nottingham
GJ Maxwell,2,0,15,0,7.5,2,England,Lord's
GJ Maxwell,4,0,18,0,4.5,2,New Zealand,Lord's
GJ Maxwell,10,0,57,0,5.7,1,South Africa,Manchester
GJ Maxwell,3,0,19,0,6.33,2,England,Manchester
GJ Maxwell,4,0,23,0,5.75,1,England,Manchester
GJ Maxwell,6.4,0,55,0,8.25,2,India,Sydney
GJ Maxwell,5,0,34,1,6.8,2,India,Sydney
GJ Maxwell,5,0,27,0,5.4,1,India,Canberra
GJ Maxwell,10,0,60,0,6,1,Sri Lanka,Pallekele
GJ Maxwell,10,2,35,2,3.5,1,Sri Lanka,Pallekele
GJ Maxwell,7,0,44,1,6.28,2,Sri Lanka,Colombo (RPS)
GJ Maxwell,8,0,49,1,6.12,1,Sri Lanka,Colombo (RPS)
GJ Maxwell,10,0,38,1,3.8,1,Sri Lanka,Colombo (RPS)
GJ Maxwell,10,0,52,4,5.2,1,New Zealand,Cairns
GJ Maxwell,3,0,9,0,3,2,New Zealand,Cairns
GJ Maxwell,4,0,18,0,4.5,2,New Zealand,Cairns
GJ Maxwell,2,0,7,0,3.5,2,India,Wankhede
GJ Maxwell,10,0,40,4,4,2,India,Rajkot
GJ Maxwell,8,0,33,0,4.12,2,India,Chennai
GJ Maxwell,10,1,34,2,3.4,1,South Africa,Lucknow
GJ Maxwell,9.3,0,36,1,3.78,1,Sri Lanka,Lucknow
GJ Maxwell,5,0,40,0,8,2,Pakistan,Bengaluru
GJ Maxwell,10,0,62,1,6.2,2,New Zealand,Dharamsala
GJ Maxwell,10,0,55,1,5.5,1,Afghanistan,Wankhede
GJ Maxwell,10,0,35,0,3.5,1,South Africa,Eden Gardens
