Player,Overs,Mdns,Runs,Wkts,Econ,Inns,Opposition,Ground
JR Hazlewood,9.3,1,55,1,5.78,2,India,Bengaluru
JR Hazlewood,10,0,63,1,6.3,1,South Africa,Paarl
JR Hazlewood,10,1,37,2,3.7,2,South Africa,Potchefstroom
JR Hazlewood,10,0,37,2,3.7,2,New Zealand,Sydney
JR Hazlewood,10,3,26,3,2.6,2,England,Manchester
JR Hazlewood,10,2,27,1,2.7,1,England,Manchester
JR Hazlewood,10,0,68,0,6.8,1,England,Manchester
JR Hazlewood,10,0,55,3,5.5,2,India,Sydney
JR Hazlewood,9,0,59,2,6.55,2,India,Sydney
JR Hazlewood,10,1,66,1,6.6,1,India,Canberra
JR Hazlewood,10,0,54,1,5.4,1,Sri Lanka,Pallekele
JR Hazlewood,7,1,26,0,3.71,1,Sri Lanka,Pallekele
JR Hazlewood,9.3,0,57,1,6,2,Sri Lanka,Colombo (RPS)
JR Hazlewood,10,0,45,0,4.5,1,Sri Lanka,Colombo (RPS)
JR Hazlewood,7,3,22,2,3.14,1,Sri Lanka,Colombo (RPS)
JR Hazlewood,10,1,31,3,3.1,1,New Zealand,Cairns
JR Hazlewood,6,2,11,0,1.83,2,New Zealand,Cairns
JR Hazlewood,10,0,51,1,5.1,2,New Zealand,Cairns
JR Hazlewood,7,1,33,2,4.71,2,England,Sydney
JR Hazlewood,7,0,21,1,3,2,England,Melbourne
JR Hazlewood,10,2,41,3,4.1,1,South Africa,Bloemfontein
JR Hazlewood,9,0,74,0,8.22,1,South Africa,Potchefstroom
JR Hazlewood,10,0,79,2,7.9,1,South Africa,Centurion
JR Hazlewood,10,0,62,1,6.2,1,India,Indore
JR Hazlewood,8,0,42,2,5.25,2,India,Rajkot
JR Hazlewood,9,1,38,3,4.22,2,India,Chennai
JR Hazlewood,9,0,60,1,6.66,1,South Africa,Lucknow
JR Hazlewood,7,1,36,0,5.14,1,Sri Lanka,Lucknow
JR Hazlewood,10,1,37,1,3.7,2,Pakistan,Bengaluru
JR Hazlewood,6,0,27,1,4.5,2,Netherlands,Delhi
JR Hazlewood,9,0,70,2,7.77,2,New Zealand,Dharamsala
JR Hazlewood,9.1,1,49,2,5.34,2,England,Ahmedabad
JR Hazlewood,9,0,39,2,4.33,1,Afghanistan,Wankhede
JR Hazlewood,7,1,21,0,3,1,Bangladesh,Pune
JR Hazlewood,8,3,12,2,1.5,1,South Africa,Eden Gardens
