Player,Overs,Mdns,Runs,Wkts,Econ,Inns,Opposition,Ground
MA Starc,7,1,31,1,4.42,1,Afghanistan,Bristol
MA Starc,10,0,74,1,7.4,1,India,The Oval
MA Starc,9,1,43,2,4.77,2,Pakistan,Taunton
MA Starc,10,0,55,4,5.5,2,Sri Lanka,The Oval
MA Starc,10,0,55,2,5.5,2,Bangladesh,Nottingham
MA Starc,8.4,1,43,4,4.96,2,England,Lord's
MA Starc,9.4,1,26,5,2.68,2,New Zealand,Lord's
MA Starc,9,0,59,2,6.55,1,South Africa,Manchester
MA Starc,9,0,70,1,7.77,2,England,Birmingham
MA Starc,10,0,56,3,5.6,1,India,Wankhede
MA Starc,10,0,78,0,7.8,1,India,Rajkot
MA Starc,9,0,66,0,7.33,2,India,Bengaluru
MA Starc,10,0,59,2,5.9,1,South Africa,Paarl
MA Starc,9.3,0,53,1,5.57,2,South Africa,Bloemfontein
MA Starc,7,0,33,0,4.71,2,New Zealand,Sydney
MA Starc,10,0,47,0,4.7,2,England,Manchester
MA Starc,10,1,38,2,3.8,1,England,Manchester
MA Starc,10,0,74,3,7.4,1,England,Manchester
MA Starc,9,0,65,1,7.22,2,India,Sydney
MA Starc,9,0,82,0,9.11,2,India,Sydney
MA Starc,9,2,43,1,4.77,1,New Zealand,Cairns
MA Starc,7,0,12,2,1.71,2,New Zealand,Cairns
MA Starc,9.5,0,60,3,6.1,2,New Zealand,Cairns
MA Starc,10,0,45,1,4.5,1,England,Adelaide
MA Starc,8,1,47,4,5.87,2,England,Sydney
MA Starc,9.5,0,49,3,4.98,2,India,Wankhede
MA Starc,8,1,53,5,6.62,1,India,Visakhapatnam
MA Starc,10,0,67,0,6.7,2,India,Chennai
MA Starc,7,0,53,1,7.57,2,India,Rajkot
MA Starc,8,0,31,1,3.87,2,India,Chennai
MA Starc,9,1,53,2,5.88,1,South Africa,Lucknow
MA Starc,10,0,43,2,4.3,1,Sri Lanka,Lucknow
MA Starc,8,0,65,1,8.12,2,Pakistan,Bengaluru
MA Starc,4,0,22,1,5.5,2,Netherlands,Delhi
MA Starc,9,0,89,0,9.88,2,New Zealand,Dharamsala
MA Starc,10,0,66,2,6.6,2,England,Ahmedabad
MA Starc,9,0,70,1,7.77,1,Afghanistan,Wankhede
MA Starc,10,1,34,3,3.4,1,South Africa,Eden Gardens
