Player,Overs,Mdns,Runs,Wkts,Econ,Inns,Opposition,Ground
PJ Cummins,10,0,46,0,4.6,2,India,Hyderabad
PJ Cummins,9,2,29,4,3.22,1,India,Nagpur
PJ Cummins,8.2,1,37,3,4.44,2,India,Ranchi
PJ Cummins,10,0,70,5,7,1,India,Mohali
PJ Cummins,10,1,38,2,3.8,2,India,Delhi
PJ Cummins,8,1,23,3,2.87,2,Pakistan,Abu Dhabi
PJ Cummins,8.2,0,40,3,4.8,1,Afghanistan,Bristol
PJ Cummins,10,0,55,1,5.5,1,India,The Oval
PJ Cummins,10,0,33,3,3.3,2,Pakistan,Taunton
PJ Cummins,7.5,0,38,2,4.85,2,Sri Lanka,The Oval
PJ Cummins,10,1,65,0,6.5,2,Bangladesh,Nottingham
PJ Cummins,8,1,41,0,5.12,2,England,Lord's
PJ Cummins,6,1,14,1,2.33,2,New Zealand,Lord's
PJ Cummins,9,0,66,1,7.33,1,South Africa,Manchester
PJ Cummins,7,0,34,1,4.85,2,England,Birmingham
PJ Cummins,10,1,44,2,4.4,1,India,Wankhede
PJ Cummins,10,1,53,0,5.3,1,India,Rajkot
PJ Cummins,7,0,64,0,9.14,2,India,Bengaluru
PJ Cummins,10,0,45,3,4.5,1,South Africa,Paarl
PJ Cummins,10,1,59,1,5.9,2,South Africa,Bloemfontein
PJ Cummins,8,2,25,3,3.12,2,New Zealand,Sydney
PJ Cummins,10,0,74,1,7.4,2,England,Manchester
PJ Cummins,10,3,56,1,5.6,1,England,Manchester
PJ Cummins,10,0,53,1,5.3,1,England,Manchester
PJ Cummins,8,0,52,0,6.5,2,India,Sydney
PJ Cummins,10,0,67,3,6.7,2,India,Sydney
PJ Cummins,8,1,48,0,6,1,Sri Lanka,Pallekele
PJ Cummins,8.4,0,35,4,4.03,1,Sri Lanka,Pallekele
PJ Cummins,9,1,37,2,4.11,1,Sri Lanka,Colombo (RPS)
PJ Cummins,6.1,1,22,2,3.56,1,Sri Lanka,Colombo (RPS)
PJ Cummins,10,0,62,3,6.2,1,England,Adelaide
PJ Cummins,6,2,25,2,4.16,2,England,Melbourne
PJ Cummins,10,0,44,1,4.4,2,India,Mohali
PJ Cummins,8,0,59,1,7.37,2,India,Rajkot
PJ Cummins,6.2,0,33,0,5.21,2,India,Chennai
PJ Cummins,9,0,71,1,7.88,1,South Africa,Lucknow
PJ Cummins,7,0,32,2,4.57,1,Sri Lanka,Lucknow
PJ Cummins,7.3,0,62,2,8.26,2,Pakistan,Bengaluru
PJ Cummins,4,0,14,1,3.5,2,Netherlands,Delhi
PJ Cummins,10,0,66,2,6.6,2,New Zealand,Dharamsala
PJ Cummins,10,1,49,2,4.9,2,England,Ahmedabad
PJ Cummins,8,0,47,0,5.87,1,Afghanistan,Wankhede
PJ Cummins,8,0,56,0,7,1,Bangladesh,Pune
PJ Cummins,9.4,0,51,3,5.27,1,South Africa,Eden Gardens
