Player,Overs,Mdns,Runs,Wkts,Econ,Inns,Opposition,Ground,
Kuldeep Yadav,10,0,54,2,5.4,1,Australia,Sydney,
Kuldeep Yadav,10,0,66,0,6.6,1,Australia,Adelaide,
Kuldeep Yadav,10,1,39,4,3.9,1,New Zealand,Napier,
Kuldeep Yadav,10,0,45,4,4.5,2,New Zealand,Mount Maunganui,
Kuldeep Yadav,8,0,39,0,4.87,1,New Zealand,Mount Maunganui,
Kuldeep Yadav,1,0,2,0,2,2,New Zealand,Hamilton,
Kuldeep Yadav,10,0,46,2,4.6,1,Australia,Hyderabad,
Kuldeep Yadav,10,0,54,3,5.4,2,Australia,Nagpur,
Kuldeep Yadav,10,0,64,3,6.4,1,Australia,Ranchi,
Kuldeep Yadav,10,0,64,1,6.4,2,Australia,Mohali,
Kuldeep Yadav,10,0,74,1,7.4,1,Australia,Delhi,
Kuldeep Yadav,10,0,46,1,4.6,1,South Africa,Southampton,
Kuldeep Yadav,9,0,55,0,6.11,2,Australia,The Oval,
Kuldeep Yadav,9,1,32,2,3.55,2,Pakistan,Manchester,
Kuldeep Yadav,10,0,39,0,3.9,2,Afghanistan,Southampton,
Kuldeep Yadav,10,0,72,1,7.2,1,England,Birmingham,
Kuldeep Yadav,10,0,58,1,5.8,1,Sri Lanka,Leeds,
Kuldeep Yadav,10,0,55,0,5.5,2,Australia,Wankhede,
Kuldeep Yadav,10,0,65,2,6.5,2,Australia,Rajkot,
Kuldeep Yadav,10,0,62,1,6.2,1,Australia,Bengaluru,
Kuldeep Yadav,10,0,84,2,8.4,2,New Zealand,Hamilton,
Kuldeep Yadav,10,0,57,1,5.7,2,Australia,Canberra,
Kuldeep Yadav,9,0,68,0,7.55,2,England,Pune,
Kuldeep Yadav,10,0,84,0,8.4,2,England,Pune,
Kuldeep Yadav,9,1,48,2,5.33,1,Sri Lanka,Colombo (RPS),
Kuldeep Yadav,10,0,55,0,5.5,1,Sri Lanka,Colombo (RPS),
Kuldeep Yadav,8,0,39,1,4.87,1,South Africa,Lucknow,
Kuldeep Yadav,9,0,49,1,5.44,1,South Africa,Ranchi,
Kuldeep Yadav,4.1,1,18,4,4.32,1,South Africa,Delhi,
Kuldeep Yadav,10,1,53,1,5.3,2,Bangladesh,Chattogram,
Kuldeep Yadav,10,0,51,3,5.1,1,Sri Lanka,Eden Gardens,
Kuldeep Yadav,5,1,16,2,3.2,2,Sri Lanka,Thiruvananthapuram,
Kuldeep Yadav,8,1,43,2,5.37,2,New Zealand,Hyderabad,
Kuldeep Yadav,7.3,0,29,1,3.86,1,New Zealand,Raipur,
Kuldeep Yadav,9,0,62,3,6.88,2,New Zealand,Indore,
Kuldeep Yadav,8,1,48,1,6,1,Australia,Wankhede,
Kuldeep Yadav,1,0,12,0,12,2,Australia,Visakhapatnam,
Kuldeep Yadav,10,1,56,3,5.6,1,Australia,Chennai,
Kuldeep Yadav,8,0,25,5,3.12,2,Pakistan,Colombo (RPS),
Kuldeep Yadav,9.3,0,43,4,4.52,2,Sri Lanka,Colombo (RPS),
Kuldeep Yadav,1,0,1,0,1,1,Sri Lanka,Colombo (RPS),
Kuldeep Yadav,6,0,48,2,8,1,Australia,Rajkot,
Kuldeep Yadav,10,0,42,2,4.2,1,Australia,Chennai,
Kuldeep Yadav,10,0,40,1,4,1,Afghanistan,Delhi,
Kuldeep Yadav,10,0,35,2,3.5,1,Pakistan,Ahmedabad,
Kuldeep Yadav,10,0,47,1,4.7,1,Bangladesh,Pune,
Kuldeep Yadav,10,0,73,2,7.3,1,New Zealand,Dharamsala,
Kuldeep Yadav,8,0,24,2,3,2,England,Lucknow,
Kuldeep Yadav,2,0,3,0,1.5,2,Sri Lanka,Wankhede,
Kuldeep Yadav,5.1,1,7,2,1.35,2,South Africa,Eden Gardens,
Kuldeep Yadav,10,1,41,2,4.1,2,Netherlands,Bengaluru,
Kuldeep Yadav,10,0,56,1,5.6,2,New Zealand,Wankhede,
