Player,Overs,Mdns,Runs,Wkts,Econ,Inns,,Opposition,Ground,
Mohammed Shami,10,0,46,0,4.6,1,,Australia,Sydney,
Mohammed Shami,10,0,58,3,5.8,1,,Australia,Adelaide,
Mohammed Shami,9.4,0,47,2,4.86,1,,Australia,Melbourne,
Mohammed Shami,6,2,19,3,3.16,1,,New Zealand,Napier,
Mohammed Shami,6,0,43,1,7.16,2,,New Zealand,Mount Maunganui,
Mohammed Shami,9,0,41,3,4.55,1,,New Zealand,Mount Maunganui,
Mohammed Shami,8,0,35,2,4.37,2,,New Zealand,Wellington,
Mohammed Shami,10,2,44,2,4.4,1,,Australia,Hyderabad,
Mohammed Shami,10,0,60,0,6,2,,Australia,Nagpur,
Mohammed Shami,10,0,52,1,5.2,1,,Australia,Ranchi,
Mohammed Shami,9,0,57,2,6.33,1,,Australia,Delhi,
Mohammed Shami,9.5,1,40,4,4.06,2,,Afghanistan,Southampton,
Mohammed Shami,10,1,69,5,6.9,1,,England,Birmingham,
Mohammed Shami,9,0,68,1,7.55,2,,Bangladesh,Birmingham,
Mohammed Shami,7.4,0,58,0,7.56,2,,Australia,Wankhede,
Mohammed Shami,10,0,77,3,7.7,2,,Australia,Rajkot,
Mohammed Shami,10,0,63,4,6.3,1,,Australia,Bengaluru,
Mohammed Shami,9.1,0,63,1,6.87,2,,New Zealand,Hamilton,
Mohammed Shami,10,0,59,3,5.9,1,,Australia,Sydney,
Mohammed Shami,9,0,73,1,8.11,1,,Australia,Sydney,
Mohammed Shami,7,0,31,3,4.42,1,,England,The Oval,
Mohammed Shami,10,0,48,1,4.8,1,,England,Lord's,
Mohammed Shami,7,0,38,0,5.42,1,,England,Manchester,
Mohammed Shami,9,0,67,1,7.44,2,,Sri Lanka,Guwahati,
Mohammed Shami,7,0,43,0,6.14,1,,Sri Lanka,Eden Gardens,
Mohammed Shami,6,2,20,2,3.33,2,,Sri Lanka,Thiruvananthapuram,
Mohammed Shami,10,1,69,1,6.9,2,,New Zealand,Hyderabad,
Mohammed Shami,6,1,18,3,3,1,,New Zealand,Raipur,
Mohammed Shami,6,2,17,3,2.83,1,,Australia,Wankhede,
Mohammed Shami,3,0,29,0,9.66,2,,Australia,Visakhapatnam,
Mohammed Shami,6,0,37,0,6.16,1,,Australia,Chennai,
Mohammed Shami,8,1,32,2,4,1,,Bangladesh,Colombo (RPS),
Mohammed Shami,10,1,51,5,5.1,1,,Australia,Mohali,
Mohammed Shami,6,0,39,1,6.5,2,,Australia,Indore,
Mohammed Shami,10,0,54,5,5.4,1,,New Zealand,Dharamsala,
Mohammed Shami,7,2,22,4,3.14,2,,England,Lucknow,
Mohammed Shami,5,1,18,5,3.6,2,,Sri Lanka,Wankhede,
Mohammed Shami,4,0,18,2,4.5,2,,South Africa,Eden Gardens,
Mohammed Shami,6,0,41,0,6.83,2,,Netherlands,Bengaluru,
Mohammed Shami,9.5,0,57,7,5.79,2,,New Zealand,Wankhede,
