Player,Overs,Mdns,Runs,Wkts,Econ,Inns,Opposition,Ground,
Mohammed Siraj,10,0,76,0,7.6,1,Australia,Adelaide,
Mohammed Siraj,9,1,66,2,7.33,1,England,Manchester,
Mohammed Siraj,8,0,49,0,6.12,1,South Africa,Lucknow,
Mohammed Siraj,10,1,38,3,3.8,1,South Africa,Ranchi,
Mohammed Siraj,5,0,17,2,3.4,1,South Africa,Delhi,
Mohammed Siraj,10,1,32,3,3.2,2,Bangladesh,Mirpur,
Mohammed Siraj,10,0,73,2,7.3,1,Bangladesh,Mirpur,
Mohammed Siraj,5,0,27,1,5.4,2,Bangladesh,Chattogram,
Mohammed Siraj,7,1,30,2,4.28,2,Sri Lanka,Guwahati,
Mohammed Siraj,5.4,0,30,3,5.29,1,Sri Lanka,Eden Gardens,
Mohammed Siraj,10,1,32,4,3.2,2,Sri Lanka,Thiruvananthapuram,
Mohammed Siraj,10,2,46,4,4.6,2,New Zealand,Hyderabad,
Mohammed Siraj,6,1,10,1,1.66,1,New Zealand,Raipur,
Mohammed Siraj,5.4,1,29,3,5.11,1,Australia,Wankhede,
Mohammed Siraj,3,0,37,0,12.33,2,Australia,Visakhapatnam,
Mohammed Siraj,7,1,37,2,5.28,1,Australia,Chennai,
Mohammed Siraj,5,0,23,0,4.6,2,Pakistan,Colombo (RPS),
Mohammed Siraj,5,2,17,1,3.4,2,Sri Lanka,Colombo (RPS),
Mohammed Siraj,7,1,21,6,3,1,Sri Lanka,Colombo (RPS),
Mohammed Siraj,9,0,68,1,7.55,1,Australia,Rajkot,
Mohammed Siraj,6.3,1,26,1,4,1,Australia,Chennai,
Mohammed Siraj,9,0,76,0,8.44,1,Afghanistan,Delhi,
Mohammed Siraj,8,0,50,2,6.25,1,Pakistan,Ahmedabad,
Mohammed Siraj,10,0,60,2,6,1,Bangladesh,Pune,
Mohammed Siraj,10,1,45,1,4.5,1,New Zealand,Dharamsala,
Mohammed Siraj,6,0,33,0,5.5,2,England,Lucknow,
Mohammed Siraj,7,2,16,3,2.28,2,Sri Lanka,Wankhede,
Mohammed Siraj,4,1,11,1,2.75,2,South Africa,Eden Gardens,
Mohammed Siraj,6,1,29,2,4.83,2,Netherlands,Bengaluru,
Mohammed Siraj,9,0,78,1,8.66,2,New Zealand,Wankhede,
