Player,Overs,Mdns,Runs,Wkts,Econ,Inns,Opposition,Ground,
SN Thakur,5,0,43,0,8.6,2,Australia,Wankhede,
SN Thakur,9,0,80,1,8.88,2,New Zealand,Hamilton,
SN Thakur,10,1,60,2,6,1,New Zealand,Auckland,
SN Thakur,9.1,0,87,1,9.49,2,New Zealand,Mount Maunganui,
SN Thakur,10,1,51,3,5.1,2,Australia,Canberra,
SN Thakur,6,0,37,3,6.16,2,England,Pune,
SN Thakur,7.3,0,54,0,7.2,2,England,Pune,
SN Thakur,10,0,67,4,6.7,2,England,Pune,
SN Thakur,10,1,72,0,7.2,1,South Africa,Paarl,
SN Thakur,5,0,35,1,7,2,South Africa,Paarl,
SN Thakur,8,1,35,2,4.37,1,South Africa,Lucknow,
SN Thakur,5,0,36,1,7.2,1,South Africa,Ranchi,
SN Thakur,2,0,8,0,4,1,South Africa,Delhi,
SN Thakur,9,1,63,1,7,2,New Zealand,Auckland,
SN Thakur,9,1,21,1,2.33,2,Bangladesh,Mirpur,
SN Thakur,10,1,47,0,4.7,1,Bangladesh,Mirpur,
SN Thakur,5,0,30,3,6,2,Bangladesh,Chattogram,
SN Thakur,7.2,0,54,2,7.36,2,New Zealand,Hyderabad,
SN Thakur,6,1,26,1,4.33,1,New Zealand,Raipur,
SN Thakur,6,0,45,3,7.5,2,New Zealand,Indore,
SN Thakur,2,0,12,0,6,1,Australia,Wankhede,
SN Thakur,4,0,16,1,4,2,Pakistan,Colombo (RPS),
SN Thakur,10,0,65,3,6.5,1,Bangladesh,Colombo (RPS),
SN Thakur,10,0,78,0,7.8,1,Australia,Mohali,
SN Thakur,4,0,35,0,8.75,2,Australia,Indore,
SN Thakur,6,0,31,1,5.16,1,Afghanistan,Delhi,
SN Thakur,2,0,12,0,6,1,Pakistan,Ahmedabad,
SN Thakur,9,0,59,1,6.55,1,Bangladesh,Pune,
