Player,Overs,Mdns,Runs,Wkts,Econ,Inns,Opposition,Ground,
JJ Bumrah,10,0,60,2,6,1,Australia,Hyderabad,
JJ Bumrah,10,0,29,2,2.9,2,Australia,Nagpur,
JJ Bumrah,10,0,53,0,5.3,1,Australia,Ranchi,
JJ Bumrah,8.5,0,63,3,7.13,2,Australia,Mohali,
JJ Bumrah,10,0,39,0,3.9,1,Australia,Delhi,
JJ Bumrah,10,1,35,2,3.5,1,South Africa,Southampton,
JJ Bumrah,10,1,61,3,6.1,2,Australia,The Oval,
JJ Bumrah,8,0,52,0,6.5,2,Pakistan,Manchester,
JJ Bumrah,10,1,39,2,3.9,2,Afghanistan,Southampton,
JJ Bumrah,10,1,44,1,4.4,1,England,Birmingham,
JJ Bumrah,10,1,55,4,5.5,2,Bangladesh,Birmingham,
JJ Bumrah,10,2,37,3,3.7,1,Sri Lanka,Leeds,
JJ Bumrah,10,1,39,1,3.9,1,New Zealand,Manchester,
JJ Bumrah,7,0,50,0,7.14,2,Australia,Wankhede,
JJ Bumrah,9.1,2,32,1,3.49,2,Australia,Rajkot,
JJ Bumrah,10,0,38,0,3.8,1,Australia,Bengaluru,
JJ Bumrah,10,1,53,0,5.3,2,New Zealand,Hamilton,
JJ Bumrah,10,0,64,0,6.4,1,New Zealand,Auckland,
JJ Bumrah,10,0,50,0,5,2,New Zealand,Mount Maunganui,
JJ Bumrah,10,0,73,1,7.3,1,Australia,Sydney,
JJ Bumrah,10,1,79,1,7.9,1,Australia,Sydney,
JJ Bumrah,9.3,0,43,2,4.52,2,Australia,Canberra,
JJ Bumrah,10,0,48,2,4.8,1,South Africa,Paarl,
JJ Bumrah,10,0,37,1,3.7,2,South Africa,Paarl,
JJ Bumrah,10,0,52,2,5.2,1,South Africa,Cape Town,
JJ Bumrah,7.2,3,19,6,2.59,1,England,The Oval,
JJ Bumrah,10,1,49,2,4.9,1,England,Lord's,
JJ Bumrah,5,1,18,1,3.6,2,Pakistan,Colombo (RPS),
JJ Bumrah,7,1,30,2,4.28,2,Sri Lanka,Colombo (RPS),
JJ Bumrah,5,1,23,1,4.6,1,Sri Lanka,Colombo (RPS),
JJ Bumrah,10,2,43,1,4.3,1,Australia,Mohali,
JJ Bumrah,10,0,81,3,8.1,1,Australia,Rajkot,
JJ Bumrah,10,0,35,2,3.5,1,Australia,Chennai,
JJ Bumrah,10,0,39,4,3.9,1,Afghanistan,Delhi,
JJ Bumrah,7,1,19,2,2.71,1,Pakistan,Ahmedabad,
JJ Bumrah,10,1,41,2,4.1,1,Bangladesh,Pune,
JJ Bumrah,10,1,45,1,4.5,1,New Zealand,Dharamsala,
JJ Bumrah,6.5,1,32,3,4.68,2,England,Lucknow,
JJ Bumrah,5,1,8,1,1.6,2,Sri Lanka,Wankhede,
JJ Bumrah,5,0,14,0,2.8,2,South Africa,Eden Gardens,
JJ Bumrah,9,1,33,2,3.66,2,Netherlands,Bengaluru,
JJ Bumrah,10,1,64,1,6.4,2,New Zealand,Wankhede,
