Player,Runs,,BF,4s,6s,SR,Inns,,Opposition,Ground,
JJ Bumrah,0,,2,0,0,0,1,,Australia,Nagpur,
JJ Bumrah,0,,1,0,0,0,2,,Australia,Ranchi,
JJ Bumrah,1,,4,0,0,25,2,,Australia,Delhi,
JJ Bumrah,0,,1,0,0,0,2,,New Zealand,Auckland,
JJ Bumrah,0,,3,0,0,0,2,,Australia,Sydney,
JJ Bumrah,0,,2,0,0,0,2,,Australia,Sydney,
JJ Bumrah,14,,23,1,0,60.86,2,,South Africa,Paarl,
JJ Bumrah,12,,15,2,0,80,2,,South Africa,Cape Town,
JJ Bumrah,2,,6,0,0,33.33,2,,England,Lord's,
JJ Bumrah,5,,12,0,0,41.66,1,,Sri Lanka,Colombo (RPS),
JJ Bumrah,5,,11,1,0,45.45,2,,Australia,Rajkot,
JJ Bumrah,16,,25,1,0,64,1,,England,Lucknow,
