Player,Runs,,BF,4s,6s,SR,Inns,,Opposition,Ground
RA Jadeja,8,,13,0,0,61.53,2,,Australia,Sydney
RA Jadeja,21,,40,0,0,52.5,1,,Australia,Nagpur
RA Jadeja,24,,31,0,1,77.41,2,,Australia,Ranchi
RA Jadeja,0,,3,0,0,0,2,,Australia,Delhi
RA Jadeja,77,,59,4,4,130.5,2,,New Zealand,Manchester
RA Jadeja,25,,32,2,1,78.12,1,,Australia,Wankhede
RA Jadeja,20,,16,1,0,125,1,,Australia,Rajkot
RA Jadeja,55,,73,2,1,75.34,2,,New Zealand,Auckland
RA Jadeja,8,,7,1,0,114.28,1,,New Zealand,Mount Maunganui
RA Jadeja,25,,37,0,1,67.56,2,,Australia,Sydney
RA Jadeja,24,,11,1,2,218.18,2,,Australia,Sydney
RA Jadeja,66,,50,5,3,132,1,,Australia,Canberra
RA Jadeja,29,,44,1,1,65.9,2,,England,Lord's
RA Jadeja,7,,15,0,0,46.66,2,,England,Manchester
RA Jadeja,45,,69,5,0,65.21,2,,Australia,Wankhede
RA Jadeja,16,,39,1,0,41.02,1,,Australia,Visakhapatnam
RA Jadeja,18,,33,1,0,54.54,2,,Australia,Chennai
RA Jadeja,4,,19,0,0,21.05,1,,Sri Lanka,Colombo (RPS)
RA Jadeja,7,,12,0,0,58.33,2,,Bangladesh,Colombo (RPS)
RA Jadeja,3,,6,0,0,50,2,,Australia,Mohali
RA Jadeja,13,,9,1,0,144.44,1,,Australia,Indore
RA Jadeja,35,,36,3,1,97.22,2,,Australia,Rajkot
RA Jadeja,39,,44,3,1,88.63,2,,New Zealand,Dharamsala
RA Jadeja,8,,13,0,0,61.53,1,,England,Lucknow
RA Jadeja,35,,24,1,1,145.83,1,,Sri Lanka,Wankhede
RA Jadeja,29,,15,3,1,193.33,1,,South Africa,Eden Gardens
