Player,Runs,,BF,4s,6s,SR,Inns,,Opposition,Ground,
RG Sharma,133,,129,10,6,103.1,2,,Australia,Sydney,
RG Sharma,43,,52,2,2,82.69,2,,Australia,Adelaide,
RG Sharma,9,,17,1,0,52.94,2,,Australia,Melbourne,
RG Sharma,11,,24,1,0,45.83,2,,New Zealand,Napier,
RG Sharma,87,,96,9,3,90.62,1,,New Zealand,Mount Maunganui,
RG Sharma,62,,77,3,2,80.51,2,,New Zealand,Mount Maunganui,
RG Sharma,7,,23,0,0,30.43,1,,New Zealand,Hamilton,
RG Sharma,2,,16,0,0,12.5,1,,New Zealand,Wellington,
RG Sharma,37,,66,5,0,56.06,2,,Australia,Hyderabad,
RG Sharma,0,,6,0,0,0,1,,Australia,Nagpur,
RG Sharma,14,,14,2,1,100,2,,Australia,Ranchi,
RG Sharma,95,,92,7,2,103.26,1,,Australia,Mohali,
RG Sharma,56,,89,4,0,62.92,2,,Australia,Delhi,
RG Sharma,122,,144,13,2,84.72,2,,South Africa,Southampton,
RG Sharma,57,,70,3,1,81.42,1,,Australia,The Oval,
RG Sharma,140,,113,14,3,123.89,1,,Pakistan,Manchester,
RG Sharma,1,,10,0,0,10,1,,Afghanistan,Southampton,
RG Sharma,102,,109,15,0,93.57,2,,England,Birmingham,
RG Sharma,104,,92,7,5,113.04,1,,Bangladesh,Birmingham,
RG Sharma,103,,94,14,2,109.57,2,,Sri Lanka,Leeds,
RG Sharma,1,,4,0,0,25,2,,New Zealand,Manchester,
RG Sharma,10,,15,2,0,66.66,1,,Australia,Wankhede,
RG Sharma,42,,44,6,0,95.45,1,,Australia,Rajkot,
RG Sharma,119,,128,8,6,92.96,2,,Australia,Bengaluru,
RG Sharma,28,,42,4,0,66.66,1,,England,Pune,
RG Sharma,25,,25,5,0,100,1,,England,Pune,
RG Sharma,37,,37,6,0,100,1,,England,Pune,
RG Sharma,76,,58,7,5,131.03,2,,England,The Oval,
RG Sharma,0,,10,0,0,0,2,,England,Lord's,
RG Sharma,17,,17,4,0,100,2,,England,Manchester,
RG Sharma,27,,31,4,1,87.09,1,,Bangladesh,Mirpur,
RG Sharma,51,,28,3,5,182.14,2,,Bangladesh,Mirpur,
RG Sharma,83,,67,9,3,123.88,1,,Sri Lanka,Guwahati,
RG Sharma,17,,21,2,1,80.95,2,,Sri Lanka,Eden Gardens,
RG Sharma,42,,49,2,3,85.71,1,,Sri Lanka,Thiruvananthapuram,
RG Sharma,34,,38,4,2,89.47,1,,New Zealand,Hyderabad,
RG Sharma,51,,50,7,2,102,2,,New Zealand,Raipur,
RG Sharma,101,,85,9,6,118.82,1,,New Zealand,Indore,
RG Sharma,13,,15,2,0,86.66,1,,Australia,Visakhapatnam,
RG Sharma,30,,17,2,2,176.47,2,,Australia,Chennai,
RG Sharma,56,,49,6,4,114.28,1,,Pakistan,Colombo (RPS),
RG Sharma,53,,48,7,2,110.41,1,,Sri Lanka,Colombo (RPS),
RG Sharma,0,,2,0,0,0,2,,Bangladesh,Colombo (RPS),
RG Sharma,81,,57,5,6,142.1,2,,Australia,Rajkot,
RG Sharma,0,,6,0,0,0,2,,Australia,Chennai,
RG Sharma,131,,84,16,5,155.95,2,,Afghanistan,Delhi,
RG Sharma,86,,63,6,6,136.5,2,,Pakistan,Ahmedabad,
RG Sharma,48,,40,7,2,120,2,,Bangladesh,Pune,
RG Sharma,46,,40,4,4,115,2,,New Zealand,Dharamsala,
RG Sharma,87,,101,10,3,86.13,1,,England,Lucknow,
RG Sharma,4,,2,1,0,200,1,,Sri Lanka,Wankhede,
RG Sharma,40,,24,6,2,166.66,1,,South Africa,Eden Gardens,
RG Sharma,61,,54,8,2,112.96,1,,Netherlands,Bengaluru,
RG Sharma,47,,29,4,4,162.06,1,,New Zealand,Wankhede,
