Player,Runs,,BF,4s,6s,SR,Inns,,Opposition,Ground,
Mohammed Shami,1,,2,0,0,50,2,,Australia,Sydney,
Mohammed Shami,1,,1,0,0,100,1,,New Zealand,Wellington,
Mohammed Shami,2,,4,0,0,50,1,,Australia,Nagpur,
Mohammed Shami,8,,4,2,0,200,2,,Australia,Ranchi,
Mohammed Shami,3,,7,0,0,42.85,2,,Australia,Delhi,
Mohammed Shami,1,,2,0,0,50,1,,Afghanistan,Southampton,
Mohammed Shami,1,,2,0,0,50,1,,Bangladesh,Birmingham,
Mohammed Shami,10,,15,1,0,66.66,1,,Australia,Wankhede,
Mohammed Shami,13,,10,1,1,130,2,,Australia,Sydney,
Mohammed Shami,1,,4,0,0,25,2,,Australia,Sydney,
Mohammed Shami,23,,28,2,1,82.14,2,,England,Lord's,
Mohammed Shami,0,,1,0,0,0,1,,Australia,Visakhapatnam,
Mohammed Shami,14,,10,1,1,140,2,,Australia,Chennai,
Mohammed Shami,6,,6,1,0,100,2,,Bangladesh,Colombo (RPS),
Mohammed Shami,1,,5,0,0,20,1,,England,Lucknow,
Mohammed Shami,2,,4,0,0,50,1,,Sri Lanka,Wankhede,
