Player,Runs,,BF,4s,6s,SR,Inns,,Opposition,Ground,
Shubman Gill,9,,21,1,0,42.85,1,,New Zealand,Hamilton,
Shubman Gill,7,,11,1,0,63.63,1,,New Zealand,Wellington,
Shubman Gill,33,,39,3,1,84.61,1,,Australia,Canberra,
Shubman Gill,3,,7,0,0,42.85,2,,South Africa,Lucknow,
Shubman Gill,28,,26,5,0,107.69,2,,South Africa,Ranchi,
Shubman Gill,49,,57,8,0,85.96,2,,South Africa,Delhi,
Shubman Gill,50,,65,1,3,76.92,1,,New Zealand,Auckland,
Shubman Gill,70,,60,11,0,116.66,1,,Sri Lanka,Guwahati,
Shubman Gill,21,,12,5,0,175,2,,Sri Lanka,Eden Gardens,
Shubman Gill,116,,97,14,2,119.58,1,,Sri Lanka,Thiruvananthapuram,
Shubman Gill,208,,149,19,9,139.59,1,,New Zealand,Hyderabad,
Shubman Gill,40,,53,6,0,75.47,2,,New Zealand,Raipur,
Shubman Gill,112,,78,13,5,143.58,1,,New Zealand,Indore,
Shubman Gill,20,,31,3,0,64.51,2,,Australia,Wankhede,
Shubman Gill,0,,2,0,0,0,1,,Australia,Visakhapatnam,
Shubman Gill,37,,49,4,1,75.51,2,,Australia,Chennai,
Shubman Gill,58,,52,10,0,111.53,1,,Pakistan,Colombo (RPS),
Shubman Gill,19,,25,2,0,76,1,,Sri Lanka,Colombo (RPS),
Shubman Gill,121,,133,8,5,90.97,2,,Bangladesh,Colombo (RPS),
Shubman Gill,27,,19,6,0,142.1,2,,Sri Lanka,Colombo (RPS),
Shubman Gill,74,,63,6,2,117.46,2,,Australia,Mohali,
Shubman Gill,104,,97,6,4,107.21,1,,Australia,Indore,
Shubman Gill,16,,11,4,0,145.45,2,,Pakistan,Ahmedabad,
Shubman Gill,53,,55,5,2,96.36,2,,Bangladesh,Pune,
Shubman Gill,26,,31,5,0,83.87,2,,New Zealand,Dharamsala,
Shubman Gill,9,,13,1,0,69.23,1,,England,Lucknow,
Shubman Gill,92,,92,11,2,100,1,,Sri Lanka,Wankhede,
Shubman Gill,23,,24,4,1,95.83,1,,South Africa,Eden Gardens,
Shubman Gill,51,,32,3,4,159.37,1,,Netherlands,Bengaluru,
Shubman Gill,80,,66,8,3,121.21,1,,New Zealand,Wankhede,
