Player,Runs,,BF,4s,6s,SR,Inns,,Opposition,Ground,
SA Yadav,31,,20,5,0,155,2,,Sri Lanka,Colombo (RPS),
SA Yadav,53,,44,6,0,120.45,2,,Sri Lanka,Colombo (RPS),
SA Yadav,40,,37,7,0,108.1,1,,Sri Lanka,Colombo (RPS),
SA Yadav,39,,32,4,1,121.87,2,,South Africa,Cape Town,
SA Yadav,27,,29,1,1,93.1,2,,England,Lord's,
SA Yadav,16,,28,1,0,57.14,2,,England,Manchester,
SA Yadav,4,,3,1,0,133.33,1,,New Zealand,Auckland,
SA Yadav,4,,4,0,0,100,1,,Sri Lanka,Thiruvananthapuram,
SA Yadav,31,,26,4,0,119.23,1,,New Zealand,Hyderabad,
SA Yadav,14,,9,0,2,155.55,1,,New Zealand,Indore,
SA Yadav,0,,1,0,0,0,2,,Australia,Wankhede,
SA Yadav,0,,1,0,0,0,1,,Australia,Visakhapatnam,
SA Yadav,0,,1,0,0,0,2,,Australia,Chennai,
SA Yadav,26,,34,3,0,76.47,2,,Bangladesh,Colombo (RPS),
SA Yadav,50,,49,5,1,102.04,2,,Australia,Mohali,
SA Yadav,72,,37,6,6,194.59,1,,Australia,Indore,
SA Yadav,8,,7,1,0,114.28,2,,Australia,Rajkot,
SA Yadav,2,,4,0,0,50,2,,New Zealand,Dharamsala,
SA Yadav,49,,47,4,1,104.25,1,,England,Lucknow,
SA Yadav,12,,9,2,0,133.33,1,,Sri Lanka,Wankhede,
SA Yadav,22,,14,5,0,157.14,1,,South Africa,Eden Gardens,
SA Yadav,1,,2,0,0,50,1,,New Zealand,Wankhede,
