Player,Runs,,BF,4s,6s,SR,Inns,,Opposition,Ground,
V Kohli,3,,8,0,0,37.5,2,,Australia,Sydney,
V Kohli,104,,112,5,2,92.85,2,,Australia,Adelaide,
V Kohli,46,,62,3,0,74.19,2,,Australia,Melbourne,
V Kohli,45,,59,3,0,76.27,2,,New Zealand,Napier,
V Kohli,43,,45,5,0,95.55,1,,New Zealand,Mount Maunganui,
V Kohli,60,,74,6,1,81.08,2,,New Zealand,Mount Maunganui,
V Kohli,44,,45,6,1,97.77,2,,Australia,Hyderabad,
V Kohli,116,,120,10,0,96.66,1,,Australia,Nagpur,
V Kohli,123,,95,16,1,129.47,2,,Australia,Ranchi,
V Kohli,7,,6,1,0,116.66,1,,Australia,Mohali,
V Kohli,20,,22,2,0,90.9,2,,Australia,Delhi,
V Kohli,18,,34,1,0,52.94,2,,South Africa,Southampton,
V Kohli,82,,77,4,2,106.49,1,,Australia,The Oval,
V Kohli,77,,65,7,0,118.46,1,,Pakistan,Manchester,
V Kohli,67,,63,5,0,106.34,1,,Afghanistan,Southampton,
V Kohli,66,,76,7,0,86.84,2,,England,Birmingham,
V Kohli,26,,27,3,0,96.29,1,,Bangladesh,Birmingham,
V Kohli,34,,41,3,0,82.92,2,,Sri Lanka,Leeds,
V Kohli,1,,6,0,0,16.66,2,,New Zealand,Manchester,
V Kohli,16,,14,0,1,114.28,1,,Australia,Wankhede,
V Kohli,78,,76,6,0,102.63,1,,Australia,Rajkot,
V Kohli,89,,91,8,0,97.8,2,,Australia,Bengaluru,
V Kohli,51,,63,6,0,80.95,1,,New Zealand,Hamilton,
V Kohli,15,,25,1,0,60,2,,New Zealand,Auckland,
V Kohli,9,,12,0,1,75,1,,New Zealand,Mount Maunganui,
V Kohli,21,,21,2,1,100,2,,Australia,Sydney,
V Kohli,89,,87,7,2,102.29,2,,Australia,Sydney,
V Kohli,63,,78,5,0,80.76,1,,Australia,Canberra,
V Kohli,56,,60,6,0,93.33,1,,England,Pune,
V Kohli,66,,79,3,1,83.54,1,,England,Pune,
V Kohli,7,,10,1,0,70,1,,England,Pune,
V Kohli,51,,63,3,0,80.95,2,,South Africa,Paarl,
V Kohli,0,,5,0,0,0,1,,South Africa,Paarl,
V Kohli,65,,84,5,0,77.38,2,,South Africa,Cape Town,
V Kohli,16,,25,3,0,64,2,,England,Lord's,
V Kohli,17,,22,3,0,77.27,2,,England,Manchester,
V Kohli,9,,15,1,0,60,1,,Bangladesh,Mirpur,
V Kohli,5,,6,1,0,83.33,2,,Bangladesh,Mirpur,
V Kohli,113,,91,11,2,124.17,1,,Bangladesh,Chattogram,
V Kohli,113,,87,12,1,129.88,1,,Sri Lanka,Guwahati,
V Kohli,4,,9,1,0,44.44,2,,Sri Lanka,Eden Gardens,
V Kohli,166,,110,13,8,150.9,1,,Sri Lanka,Thiruvananthapuram,
V Kohli,8,,10,1,0,80,1,,New Zealand,Hyderabad,
V Kohli,11,,9,2,0,122.22,2,,New Zealand,Raipur,
V Kohli,36,,27,3,1,133.33,1,,New Zealand,Indore,
V Kohli,4,,9,1,0,44.44,2,,Australia,Wankhede,
V Kohli,31,,35,4,0,88.57,1,,Australia,Visakhapatnam,
V Kohli,54,,72,2,1,75,2,,Australia,Chennai,
V Kohli,122,,94,9,3,129.78,1,,Pakistan,Colombo (RPS),
V Kohli,3,,12,0,0,25,1,,Sri Lanka,Colombo (RPS),
V Kohli,56,,61,5,1,91.8,2,,Australia,Rajkot,
V Kohli,85,,116,6,0,73.27,2,,Australia,Chennai,
V Kohli,55,,56,6,0,98.21,2,,Afghanistan,Delhi,
V Kohli,16,,18,3,0,88.88,2,,Pakistan,Ahmedabad,
V Kohli,103,,97,6,4,106.18,2,,Bangladesh,Pune,
V Kohli,95,,104,8,2,91.34,2,,New Zealand,Dharamsala,
V Kohli,0,,9,0,0,0,1,,England,Lucknow,
V Kohli,88,,94,11,0,93.61,1,,Sri Lanka,Wankhede,
V Kohli,101,,121,10,0,83.47,1,,South Africa,Eden Gardens,
V Kohli,51,,56,5,1,91.07,1,,Netherlands,Bengaluru,
V Kohli,117,,113,9,2,103.53,1,,New Zealand,Wankhede,
