Player,Runs,,BF,4s,6s,SR,Inns,,Opposition,Ground
KL Rahul,26,,31,1,0,83.87,1,,Australia,Mohali
KL Rahul,26,,42,2,0,61.9,2,,South Africa,Southampton
KL Rahul,57,,78,3,2,73.07,1,,Pakistan,Manchester
KL Rahul,30,,53,2,0,56.6,1,,Afghanistan,Southampton
KL Rahul,0,,9,0,0,0,2,,England,Birmingham
KL Rahul,77,,92,6,1,83.69,1,,Bangladesh,Birmingham
KL Rahul,111,,118,11,1,94.06,2,,Sri Lanka,Leeds
KL Rahul,1,,7,0,0,14.28,2,,New Zealand,Manchester
KL Rahul,47,,61,4,0,77.04,1,,Australia,Wankhede
KL Rahul,80,,52,6,3,153.84,1,,Australia,Rajkot
KL Rahul,19,,27,2,0,70.37,2,,Australia,Bengaluru
KL Rahul,88,,64,3,6,137.5,1,,New Zealand,Hamilton
KL Rahul,4,,8,0,0,50,2,,New Zealand,Auckland
KL Rahul,112,,113,9,2,99.11,1,,New Zealand,Mount Maunganui
KL Rahul,12,,15,1,0,80,2,,Australia,Sydney
KL Rahul,76,,66,4,5,115.15,2,,Australia,Sydney
KL Rahul,5,,11,0,0,45.45,1,,Australia,Canberra
KL Rahul,62,,43,4,4,144.18,1,,England,Pune
KL Rahul,108,,114,7,2,94.73,1,,England,Pune
KL Rahul,7,,18,0,0,38.88,1,,England,Pune
KL Rahul,12,,17,0,0,70.58,2,,South Africa,Paarl
KL Rahul,55,,79,4,0,69.62,1,,South Africa,Paarl
KL Rahul,9,,10,2,0,90,2,,South Africa,Cape Town
KL Rahul,73,,70,5,4,104.28,1,,Bangladesh,Mirpur
KL Rahul,14,,28,0,0,50,2,,Bangladesh,Mirpur
KL Rahul,8,,10,1,0,80,1,,Bangladesh,Chattogram
KL Rahul,39,,29,4,1,134.48,1,,Sri Lanka,Guwahati
KL Rahul,64,,103,6,0,62.13,2,,Sri Lanka,Eden Gardens
KL Rahul,7,,6,1,0,116.66,1,,Sri Lanka,Thiruvananthapuram
KL Rahul,75,,91,7,1,82.41,2,,Australia,Wankhede
KL Rahul,9,,12,1,0,75,1,,Australia,Visakhapatnam
KL Rahul,32,,50,2,1,64,2,,Australia,Chennai
KL Rahul,111,,106,12,2,104.71,1,,Pakistan,Colombo (RPS)
KL Rahul,39,,44,2,0,88.63,1,,Sri Lanka,Colombo (RPS)
KL Rahul,19,,39,2,0,48.71,2,,Bangladesh,Colombo (RPS)
KL Rahul,58,,63,4,1,92.06,2,,Australia,Mohali
KL Rahul,52,,38,3,3,136.84,1,,Australia,Indore
KL Rahul,26,,30,2,0,86.66,2,,Australia,Rajkot
KL Rahul,97,,115,8,2,84.34,2,,Australia,Chennai
KL Rahul,19,,29,2,0,65.51,2,,Pakistan,Ahmedabad
KL Rahul,34,,34,3,1,100,2,,Bangladesh,Pune
KL Rahul,27,,35,3,0,77.14,2,,New Zealand,Dharamsala
KL Rahul,39,,58,3,0,67.24,1,,England,Lucknow
KL Rahul,21,,19,2,0,110.52,1,,Sri Lanka,Wankhede
KL Rahul,8,,17,0,0,47.05,1,,South Africa,Eden Gardens
KL Rahul,102,,64,11,4,159.37,1,,Netherlands,Bengaluru
KL Rahul,39,,20,5,2,195,1,,New Zealand,Wankhede
